id,data_inversa,dia_semana,horario,uf,br
260068,2020-01-01,quarta-feira,05:40:00,PA,316
260073,2020-01-01,quarta-feira,06:00:00,MG,262
260087,2020-01-01,quarta-feira,06:00:00,BA,116
260116,2020-01-01,quarta-feira,10:08:00,SP,116
260129,2020-01-01,quarta-feira,12:10:00,MG,262
260147,2020-01-01,quarta-feira,14:15:00,PR,116
260161,2020-01-01,quarta-feira,14:25:00,MT,364
260165,2020-01-01,quarta-feira,14:50:00,MT,163
260173,2020-01-01,quarta-feira,16:10:00,SC,282
260202,2020-01-01,quarta-feira,15:55:00,MG,0
260221,2020-01-01,quarta-feira,19:30:00,PR,277
260225,2020-01-01,quarta-feira,19:20:00,MG,381
260229,2020-01-01,quarta-feira,18:00:00,MG,262
260241,2020-01-01,quarta-feira,18:10:00,PR,376
260264,2020-01-02,quinta-feira,03:10:00,SP,116
260265,2020-01-02,quinta-feira,02:00:00,SC,101
260268,2020-01-02,quinta-feira,04:15:00,SC,280
260277,2020-01-02,quinta-feira,07:00:00,SP,153
260278,2020-01-02,quinta-feira,05:30:00,MT,364
260281,2020-01-02,quinta-feira,06:10:00,CE,116
260292,2020-01-02,quinta-feira,06:15:00,MG,251
260293,2020-01-02,quinta-feira,08:50:00,PR,373
260302,2020-01-02,quinta-feira,05:40:00,MA,135
260342,2020-01-02,quinta-feira,12:35:00,RS,386
260349,2020-01-02,quinta-feira,13:15:00,AL,101
260356,2020-01-02,quinta-feira,13:00:00,PB,230
260357,2020-01-02,quinta-feira,12:15:00,BA,367
260371,2020-01-02,quinta-feira,14:40:00,MG,146
260375,2020-01-02,quinta-feira,14:30:00,GO,50
260376,2020-01-02,quinta-feira,14:00:00,BA,116
260389,2020-01-02,quinta-feira,15:30:00,BA,116
260405,2020-01-02,quinta-feira,16:50:00,SC,282
260407,2020-01-02,quinta-feira,13:50:00,MG,116
260416,2020-01-02,quinta-feira,15:30:00,SC,470
260419,2020-01-02,quinta-feira,15:10:00,MG,116
260422,2020-01-02,quinta-feira,18:10:00,PE,101
260423,2020-01-02,quinta-feira,12:40:00,MG,381
260431,2020-01-02,quinta-feira,17:30:00,TO,153
260464,2020-01-02,quinta-feira,17:30:00,PR,116
260478,2020-01-02,quinta-feira,22:30:00,ES,101
260481,2020-01-02,quinta-feira,23:25:00,BA,116
260488,2020-01-03,sexta-feira,00:30:00,RJ,101
260490,2020-01-03,sexta-feira,00:50:00,MG,153
260495,2020-01-03,sexta-feira,02:50:00,GO,40
260496,2020-01-03,sexta-feira,02:10:00,RN,226
260497,2020-01-03,sexta-feira,02:40:00,SC,101
260501,2020-01-03,sexta-feira,05:15:00,GO,153
260502,2020-01-03,sexta-feira,05:17:00,BA,116
260503,2020-01-03,sexta-feira,05:25:00,ES,101
260506,2020-01-03,sexta-feira,05:15:00,RS,386
260507,2020-01-02,quinta-feira,19:30:00,MG,50
260508,2020-01-03,sexta-feira,06:30:00,PI,316
260518,2020-01-03,sexta-feira,08:25:00,MG,40
260521,2020-01-03,sexta-feira,07:30:00,MG,40
260524,2020-01-03,sexta-feira,07:00:00,PR,369
260526,2020-01-03,sexta-feira,07:55:00,GO,50
260527,2020-01-03,sexta-feira,08:40:00,PI,316
260528,2020-01-03,sexta-feira,08:00:00,RS,392
260530,2020-01-03,sexta-feira,01:20:00,MG,381
260535,2020-01-03,sexta-feira,08:40:00,RS,290
260538,2020-01-03,sexta-feira,09:15:00,PI,316
260550,2020-01-03,sexta-feira,10:40:00,SC,282
260558,2020-01-03,sexta-feira,11:00:00,RJ,116
260570,2020-01-03,sexta-feira,12:50:00,MG,40
260581,2020-01-03,sexta-feira,13:30:00,RS,392
260584,2020-01-03,sexta-feira,13:10:00,MG,251
260588,2020-01-03,sexta-feira,13:55:00,RS,116
260600,2020-01-03,sexta-feira,08:15:00,BA,116
260612,2020-01-03,sexta-feira,15:10:00,RJ,116
260614,2020-01-03,sexta-feira,11:00:00,MG,381
260622,2020-01-03,sexta-feira,13:20:00,PR,163
260627,2020-01-03,sexta-feira,15:25:00,PR,376
260633,2020-01-03,sexta-feira,12:50:00,PR,153
260634,2020-01-03,sexta-feira,16:35:00,MG,381
260648,2020-01-03,sexta-feira,16:10:00,MG,116
260652,2020-01-03,sexta-feira,17:30:00,BA,101
260687,2020-01-03,sexta-feira,21:30:00,SP,101
